6.1028,6.1975,6.0891,6.1473,6.1158,6.4212,6.0228,6.2327,6.1899,5.9083
6.2072,6.0998,5.9816,6.2557,6.0458,6.1509,6.0928,6.2363,5.8614,6.3405
6.0939,6.1687,6.1136,5.991,6.2554,6.201,6.2144,6.0292,6.1478,5.9688
6.0483,5.942,6.0141,6.1975,6.1796,6.0743,6.0853,6.1135,6.1016,6.1237
6.1845,6.1226,6.1352,6.1639,6.4313,6.3325,6.0338,6.1849,6.1719,6.0384
6.2326,6.1855,6.0713,6.1812,6.3518,6.3705,6.2036,6.0701,6.2868,6.1651
6.2065,6.2637,6.1798,6.1678,6.1719,6.181,6.2307,6.4049,6.0847,6.0777
6.2099,5.951,6.2664,6.4374,6.3148,6.4539,6.4143,6.2163,6.2046,6.0615
6.1467,6.196,6.2566,6.2323,6.5687,6.3349,6.1302,6.3573,6.1939,6.3559
6.3178,6.2757,6.2364,6.4405,6.3553,6.371,6.2248,6.3216,6.2457,6.3445
